,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
6884,6884,1998-09-20,1998,3,False,Seattle Seahawks,24.0,14.0,Washington Redskins,SEA,"(-8.5, 0)","(43.0, 0)",Seattle Kingdome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
6898,6898,1998-09-27,1998,4,False,Washington Redskins,16.0,38.0,Denver Broncos,DEN,"(-6.5, 0)","(44.0, 0)",FedEx Field,False,80.0,"(12.0, 0)","(60.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6910,6910,1998-10-04,1998,5,False,Washington Redskins,10.0,31.0,Dallas Cowboys,WAS,"(-1.0, 0)","(38.5, 0)",FedEx Field,False,56.0,"(13.0, 0)","(88.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6921,6921,1998-10-11,1998,6,False,Philadelphia Eagles,17.0,12.0,Washington Redskins,WAS,"(-2.5, 0)","(39.0, 0)",Veterans Stadium,False,63.0,"(14.0, 0)","(65.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6930,6930,1998-10-18,1998,7,False,Minnesota Vikings,41.0,7.0,Washington Redskins,MIN,"(-13.5, 0)","(46.0, 0)",Hubert H. Humphrey Metrodome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
6962,6962,1998-11-01,1998,9,False,Washington Redskins,21.0,14.0,New York Giants,NYG,"(-2.5, 0)","(38.0, 0)",FedEx Field,False,55.0,"(9.0, 0)","(48.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6964,6964,1998-11-08,1998,10,False,Arizona Cardinals,29.0,27.0,Washington Redskins,ARI,"(-4.5, 0)","(38.0, 0)",University of Phoenix Stadium,False,65.0,"(7.0, 0)","(42.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6992,6992,1998-11-15,1998,11,False,Washington Redskins,28.0,3.0,Philadelphia Eagles,WAS,"(-4.0, 0)","(36.0, 0)",FedEx Field,False,56.0,"(12.0, 0)","(67.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7007,7007,1998-11-22,1998,12,False,Washington Redskins,42.0,45.0,Arizona Cardinals,WAS,"(-1.0, 0)","(41.0, 0)",FedEx Field,False,41.0,"(9.0, 0)","(57.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7019,7019,1998-11-29,1998,13,False,Oakland Raiders,19.0,29.0,Washington Redskins,LVR,"(-7.0, 0)","(41.5, 0)",Oakland Coliseum,False,54.0,"(20.0, 0)","(66.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7037,7037,1998-12-06,1998,14,False,Washington Redskins,24.0,20.0,San Diego Chargers,WAS,"(-3.0, 0)","(41.0, 0)",FedEx Field,False,62.0,"(9.0, 0)","(76.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7041,7041,1998-12-13,1998,15,False,Carolina Panthers,25.0,28.0,Washington Redskins,CAR,"(-3.0, 0)","(45.5, 0)",Bank of America Stadium,False,43.0,"(8.0, 0)","(96.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7055,7055,1998-12-19,1998,16,False,Washington Redskins,20.0,16.0,Tampa Bay Buccaneers,TB,"(-3.0, 0)","(41.0, 0)",FedEx Field,False,44.0,"(16.0, 0)","(47.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7076,7076,1998-12-27,1998,17,False,Dallas Cowboys,23.0,7.0,Washington Redskins,WAS,"(-1.5, 0)","(41.0, 0)",Texas Stadium,False,45.0,"(12.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7108,7108,1999-09-12,1999,1,False,Washington Redskins,35.0,41.0,Dallas Cowboys,WAS,"(-2.5, 0)","(42.0, 0)",FedEx Field,False,71.0,"(5.0, 0)","(59.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7120,7120,1999-09-19,1999,2,False,New York Giants,21.0,50.0,Washington Redskins,NYG,"(-2.5, 0)","(41.0, 0)",Giants Stadium,False,68.0,"(9.0, 0)","(60.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7132,7132,1999-09-26,1999,3,False,New York Jets,20.0,27.0,Washington Redskins,WAS,"(-1.0, 0)","(43.5, 0)",Giants Stadium,False,63.0,"(9.0, 0)","(62.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7151,7151,1999-10-03,1999,4,False,Washington Redskins,38.0,36.0,Carolina Panthers,WAS,"(-8.5, 0)","(45.5, 0)",FedEx Field,False,66.0,"(8.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7167,7167,1999-10-17,1999,6,False,Arizona Cardinals,10.0,24.0,Washington Redskins,WAS,"(-3.5, 0)","(45.5, 0)",University of Phoenix Stadium,False,74.0,"(12.0, 0)","(12.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7183,7183,1999-10-24,1999,7,False,Dallas Cowboys,38.0,20.0,Washington Redskins,DAL,"(-2.0, 0)","(44.0, 0)",Texas Stadium,False,59.0,"(6.0, 0)","(36.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7207,7207,1999-10-31,1999,8,False,Washington Redskins,48.0,22.0,Chicago Bears,WAS,"(-8.5, 0)","(44.0, 0)",FedEx Field,False,61.0,"(6.0, 0)","(85.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7221,7221,1999-11-07,1999,9,False,Washington Redskins,17.0,34.0,Buffalo Bills,WAS,"(-4.0, 0)","(47.0, 0)",FedEx Field,False,55.0,"(14.0, 0)","(43.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7232,7232,1999-11-14,1999,10,False,Philadelphia Eagles,35.0,28.0,Washington Redskins,WAS,"(-6.0, 0)","(42.0, 0)",Veterans Stadium,False,52.0,"(9.0, 0)","(82.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7251,7251,1999-11-21,1999,11,False,Washington Redskins,23.0,13.0,New York Giants,WAS,"(-5.5, 0)","(44.5, 0)",FedEx Field,False,58.0,"(5.0, 0)","(81.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7266,7266,1999-11-28,1999,12,False,Washington Redskins,20.0,17.0,Philadelphia Eagles,WAS,"(-10.0, 0)","(42.5, 0)",FedEx Field,False,51.0,"(11.0, 0)","(51.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7276,7276,1999-12-05,1999,13,False,Detroit Lions,33.0,17.0,Washington Redskins,DET,"(-3.5, 0)","(49.5, 0)",Pontiac Silverdome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
7296,7296,1999-12-12,1999,14,False,Washington Redskins,28.0,3.0,Arizona Cardinals,WAS,"(-5.5, 0)","(46.5, 0)",FedEx Field,False,43.0,"(8.0, 0)","(44.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7306,7306,1999-12-19,1999,15,False,Indianapolis Colts,24.0,21.0,Washington Redskins,IND,"(-6.5, 0)","(51.0, 0)",RCA Dome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
7322,7322,1999-12-26,1999,16,False,San Francisco 49ers,20.0,26.0,Washington Redskins,WAS,"(-7.0, 0)","(47.5, 0)",Candlestick Park,False,50.0,"(3.0, 0)","(78.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7341,7341,2000-01-02,1999,17,False,Washington Redskins,21.0,10.0,Miami Dolphins,WAS,"(-3.0, 0)","(44.0, 0)",FedEx Field,False,53.0,"(14.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7344,7344,2000-01-08,1999,Wildcard,True,Washington Redskins,27.0,13.0,Detroit Lions,WAS,"(-6.0, 0)","(46.0, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7348,7348,2000-01-15,1999,Division,True,Tampa Bay Buccaneers,14.0,13.0,Washington Redskins,TB,"(-4.5, 0)","(38.0, 0)",Raymond James Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7367,7367,2000-09-03,2000,1,False,Washington Redskins,20.0,17.0,Carolina Panthers,WAS,"(-10.5, 0)","(47.5, 0)",FedEx Field,False,76.0,"(7.0, 0)","(92.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7374,7374,2000-09-10,2000,2,False,Detroit Lions,15.0,10.0,Washington Redskins,WAS,"(-5.5, 0)","(43.0, 0)",Pontiac Silverdome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
7397,7397,2000-09-18,2000,3,False,Washington Redskins,21.0,27.0,Dallas Cowboys,WAS,"(-10.5, 0)","(44.0, 0)",FedEx Field,False,63.0,"(8.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
