,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
10158,10158,2010-11-21,2010,11,False,Minnesota Vikings,3.0,31.0,Green Bay Packers,GB,"(-3.0, 0)","(45.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10182,10182,2010-11-28,2010,12,False,Washington Redskins,13.0,17.0,Minnesota Vikings,MIN,"(-2.5, 0)","(44.0, 0)",FedEx Field,False,47.0,"(5.0, 0)","(44.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10193,10193,2010-12-05,2010,13,False,Minnesota Vikings,38.0,14.0,Buffalo Bills,MIN,"(-5.0, 0)","(44.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10215,10215,2010-12-13,2010,14,False,Minnesota Vikings,3.0,21.0,New York Giants,NYG,"(-5.5, 0)","(44.0, 0)",Ford Field,True,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10231,10231,2010-12-20,2010,15,False,Minnesota Vikings,14.0,40.0,Chicago Bears,CHI,"(-7.0, 0)","(33.0, 0)",TCF Bank Stadium,False,23.0,"(1.0, 0)","(0, 1)","[1, 0, 0, 0, 0, 0, 0, 0, 0]"
10247,10247,2010-12-28,2010,16,False,Philadelphia Eagles,14.0,24.0,Minnesota Vikings,PHI,"(-14.5, 0)","(44.5, 0)",Lincoln Financial Field,False,37.0,"(1.0, 0)","(46.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10252,10252,2011-01-02,2010,17,False,Detroit Lions,20.0,13.0,Minnesota Vikings,DET,"(-3.5, 0)","(43.5, 0)",Ford Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10284,10284,2011-09-11,2011,1,False,San Diego Chargers,24.0,17.0,Minnesota Vikings,LAC,"(-8.5, 0)","(43.0, 0)",Qualcomm Stadium,False,74.0,"(7.0, 0)","(52.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10298,10298,2011-09-18,2011,2,False,Minnesota Vikings,20.0,24.0,Tampa Bay Buccaneers,MIN,"(-1.0, 0)","(41.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10313,10313,2011-09-25,2011,3,False,Minnesota Vikings,23.0,26.0,Detroit Lions,DET,"(-3.0, 0)","(45.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10332,10332,2011-10-02,2011,4,False,Kansas City Chiefs,22.0,17.0,Minnesota Vikings,MIN,"(-3.0, 0)","(40.0, 0)",Arrowhead Stadium,False,70.0,"(7.0, 0)","(40.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10346,10346,2011-10-09,2011,5,False,Minnesota Vikings,34.0,10.0,Arizona Cardinals,MIN,"(-3.5, 0)","(45.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10354,10354,2011-10-16,2011,6,False,Chicago Bears,39.0,10.0,Minnesota Vikings,CHI,"(-2.5, 0)","(42.0, 0)",Soldier Field,False,56.0,"(1.0, 0)","(48.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10371,10371,2011-10-23,2011,7,False,Minnesota Vikings,27.0,33.0,Green Bay Packers,GB,"(-11.0, 0)","(47.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10380,10380,2011-10-30,2011,8,False,Carolina Panthers,21.0,24.0,Minnesota Vikings,CAR,"(-3.0, 0)","(47.0, 0)",Bank of America Stadium,False,59.0,"(6.0, 0)","(52.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10420,10420,2011-11-14,2011,10,False,Green Bay Packers,45.0,7.0,Minnesota Vikings,GB,"(-13.0, 0)","(50.0, 0)",Lambeau Field,False,46.0,"(13.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10429,10429,2011-11-20,2011,11,False,Minnesota Vikings,21.0,27.0,Oakland Raiders,MIN,"(-2.0, 0)","(46.5, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10438,10438,2011-11-27,2011,12,False,Atlanta Falcons,24.0,14.0,Minnesota Vikings,ATL,"(-10.0, 0)","(44.0, 0)",Georgia Dome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10458,10458,2011-12-04,2011,13,False,Minnesota Vikings,32.0,35.0,Denver Broncos,MIN,"(-1.5, 0)","(37.5, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10474,10474,2011-12-11,2011,14,False,Detroit Lions,34.0,28.0,Minnesota Vikings,DET,"(-10.0, 0)","(47.0, 0)",Ford Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10492,10492,2011-12-18,2011,15,False,Minnesota Vikings,20.0,42.0,New Orleans Saints,NO,"(-7.5, 0)","(53.5, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10512,10512,2011-12-24,2011,16,False,Washington Redskins,26.0,33.0,Minnesota Vikings,WAS,"(-6.0, 0)","(43.0, 0)",FedEx Field,False,45.0,"(9.0, 0)","(36.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10524,10524,2012-01-01,2011,17,False,Minnesota Vikings,13.0,17.0,Chicago Bears,MIN,"(-2.5, 0)","(42.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10551,10551,2012-09-09,2012,1,False,Minnesota Vikings,26.0,23.0,Jacksonville Jaguars,MIN,"(-3.5, 0)","(38.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10562,10562,2012-09-16,2012,2,False,Indianapolis Colts,23.0,20.0,Minnesota Vikings,MIN,"(-3.0, 0)","(45.5, 0)",Lucas Oil Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10583,10583,2012-09-23,2012,3,False,Minnesota Vikings,24.0,13.0,San Francisco 49ers,SF,"(-7.0, 0)","(42.5, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10595,10595,2012-09-30,2012,4,False,Detroit Lions,13.0,20.0,Minnesota Vikings,DET,"(-4.0, 0)","(48.5, 0)",Ford Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10611,10611,2012-10-07,2012,5,False,Minnesota Vikings,30.0,7.0,Tennessee Titans,MIN,"(-6.0, 0)","(44.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10631,10631,2012-10-14,2012,6,False,Washington Redskins,38.0,26.0,Minnesota Vikings,MIN,"(-2.0, 0)","(44.0, 0)",FedEx Field,False,74.0,"(12.0, 0)","(40.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10639,10639,2012-10-21,2012,7,False,Minnesota Vikings,21.0,14.0,Arizona Cardinals,MIN,"(-6.5, 0)","(39.5, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10646,10646,2012-10-25,2012,8,False,Minnesota Vikings,17.0,36.0,Tampa Bay Buccaneers,MIN,"(-5.5, 0)","(43.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10670,10670,2012-11-04,2012,9,False,Seattle Seahawks,30.0,20.0,Minnesota Vikings,SEA,"(-4.0, 0)","(38.5, 0)",CenturyLink Field,False,61.0,"(5.0, 0)","(89.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10680,10680,2012-11-11,2012,10,False,Minnesota Vikings,34.0,24.0,Detroit Lions,DET,"(-3.0, 0)","(45.5, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10706,10706,2012-11-25,2012,12,False,Chicago Bears,28.0,10.0,Minnesota Vikings,CHI,"(-6.5, 0)","(39.0, 0)",Soldier Field,False,41.0,"(5.0, 0)","(26.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10725,10725,2012-12-02,2012,13,False,Green Bay Packers,23.0,14.0,Minnesota Vikings,GB,"(-7.5, 0)","(47.0, 0)",Lambeau Field,False,45.0,"(8.0, 0)","(79.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
