,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
3777,3777,1984-12-09,1984,15,False,Los Angeles Rams,27.0,16.0,Houston Oilers,LAR,"(-11.5, 0)","(43.0, 0)",Anaheim Stadium,False,58.0,"(7.0, 0)","(73.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3784,3784,1984-12-14,1984,16,False,San Francisco 49ers,19.0,16.0,Los Angeles Rams,SF,"(-6.0, 0)","(44.0, 0)",Candlestick Park,False,51.0,"(13.0, 0)","(46.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3799,3799,1984-12-23,1984,Wildcard,True,Los Angeles Rams,13.0,16.0,New York Giants,LAR,"(-4.5, 0)","(0, 1)",Anaheim Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3814,3814,1985-09-08,1985,1,False,Los Angeles Rams,20.0,16.0,Denver Broncos,PICK,"(0.0, 0)","(38.0, 0)",Anaheim Stadium,False,69.0,"(12.0, 0)","(62.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3828,3828,1985-09-15,1985,2,False,Philadelphia Eagles,6.0,17.0,Los Angeles Rams,LAR,"(-5.0, 0)","(37.0, 0)",Veterans Stadium,False,60.0,"(8.0, 0)","(51.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3848,3848,1985-09-23,1985,3,False,Seattle Seahawks,24.0,35.0,Los Angeles Rams,SEA,"(-6.5, 0)","(44.0, 0)",Seattle Kingdome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
3855,3855,1985-09-29,1985,4,False,Los Angeles Rams,17.0,6.0,Atlanta Falcons,LAR,"(-10.0, 0)","(45.0, 0)",Anaheim Stadium,False,67.0,"(8.0, 0)","(70.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3870,3870,1985-10-06,1985,5,False,Los Angeles Rams,13.0,10.0,Minnesota Vikings,LAR,"(-6.5, 0)","(41.0, 0)",Anaheim Stadium,False,72.0,"(14.0, 0)","(59.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3888,3888,1985-10-13,1985,6,False,Tampa Bay Buccaneers,27.0,31.0,Los Angeles Rams,LAR,"(-6.5, 0)","(39.0, 0)",Houlihan's Stadium,False,78.0,"(6.0, 0)","(75.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3897,3897,1985-10-20,1985,7,False,Kansas City Chiefs,0.0,16.0,Los Angeles Rams,PICK,"(0.0, 0)","(41.0, 0)",Arrowhead Stadium,False,56.0,"(5.0, 0)","(92.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3912,3912,1985-10-27,1985,8,False,Los Angeles Rams,14.0,28.0,San Francisco 49ers,SF,"(-1.0, 0)","(38.5, 0)",Anaheim Stadium,False,64.0,"(8.0, 0)","(82.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3924,3924,1985-11-03,1985,9,False,Los Angeles Rams,28.0,10.0,New Orleans Saints,LAR,"(-7.5, 0)","(37.0, 0)",Anaheim Stadium,False,67.0,"(9.0, 0)","(53.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3941,3941,1985-11-10,1985,10,False,New York Giants,24.0,19.0,Los Angeles Rams,NYG,"(-4.5, 0)","(38.5, 0)",Giants Stadium,False,63.0,"(18.0, 0)","(56.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3947,3947,1985-11-17,1985,11,False,Atlanta Falcons,30.0,14.0,Los Angeles Rams,LAR,"(-6.0, 0)","(40.5, 0)",Atlanta-Fulton County Stadium,False,70.0,"(7.0, 0)","(69.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3968,3968,1985-11-24,1985,12,False,Los Angeles Rams,34.0,17.0,Green Bay Packers,LAR,"(-6.0, 0)","(39.0, 0)",Anaheim Stadium,False,56.0,"(11.0, 0)","(76.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3981,3981,1985-12-01,1985,13,False,New Orleans Saints,29.0,3.0,Los Angeles Rams,LAR,"(-5.5, 0)","(40.0, 0)",Louisiana Superdome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
4002,4002,1985-12-09,1985,14,False,San Francisco 49ers,20.0,27.0,Los Angeles Rams,SF,"(-9.0, 0)","(40.0, 0)",Candlestick Park,False,48.0,"(11.0, 0)","(76.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4010,4010,1985-12-15,1985,15,False,Los Angeles Rams,46.0,14.0,St. Louis Cardinals,LAR,"(-8.5, 0)","(39.5, 0)",Anaheim Stadium,False,57.0,"(7.0, 0)","(36.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4030,4030,1985-12-23,1985,16,False,Los Angeles Rams,6.0,16.0,Los Angeles Raiders,LVR,"(-1.0, 0)","(40.0, 0)",Anaheim Stadium,False,59.0,"(5.0, 0)","(55.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4033,4033,1986-01-04,1985,Division,True,Los Angeles Rams,20.0,0.0,Dallas Cowboys,LAR,"(-2.0, 0)","(0, 1)",Anaheim Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4037,4037,1986-01-12,1985,Conference,True,Chicago Bears,24.0,0.0,Los Angeles Rams,CHI,"(-10.5, 0)","(0, 1)",Soldier Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4050,4050,1986-09-07,1986,1,False,St. Louis Cardinals,10.0,16.0,Los Angeles Rams,LAR,"(-2.5, 0)","(41.0, 0)",Busch Memorial Stadium,False,60.0,"(6.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4060,4060,1986-09-14,1986,2,False,Los Angeles Rams,16.0,13.0,San Francisco 49ers,SF,"(-2.5, 0)","(41.0, 0)",Anaheim Stadium,False,66.0,"(10.0, 0)","(66.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
