,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
11059,11059,2013-12-29,2013,17,False,New York Giants,20.0,6.0,Washington Redskins,NYG,"(-3.5, 0)","(44.5, 0)",MetLife Stadium,False,42.0,"(5.0, 0)","(100.0, 0)","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
11091,11091,2014-09-08,2014,1,False,Detroit Lions,35.0,14.0,New York Giants,DET,"(-6.5, 0)","(47.0, 0)",Ford Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
11100,11100,2014-09-14,2014,2,False,New York Giants,14.0,25.0,Arizona Cardinals,NYG,"(-1.0, 0)","(41.5, 0)",MetLife Stadium,False,71.0,"(5.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11119,11119,2014-09-21,2014,3,False,New York Giants,30.0,17.0,Houston Texans,NYG,"(-1.0, 0)","(41.5, 0)",MetLife Stadium,False,76.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
11124,11124,2014-09-25,2014,4,False,Washington Redskins,14.0,45.0,New York Giants,WAS,"(-3.0, 0)","(44.5, 0)",FedEx Field,False,63.0,"(7.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11146,11146,2014-10-05,2014,5,False,New York Giants,30.0,20.0,Atlanta Falcons,NYG,"(-4.0, 0)","(50.5, 0)",MetLife Stadium,False,61.0,"(6.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11162,11162,2014-10-12,2014,6,False,Philadelphia Eagles,27.0,0.0,New York Giants,PHI,"(-1.0, 0)","(51.0, 0)",Lincoln Financial Field,False,57.0,"(5.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11171,11171,2014-10-19,2014,7,False,Dallas Cowboys,31.0,21.0,New York Giants,DAL,"(-5.0, 0)","(47.0, 0)",Cowboys Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
11209,11209,2014-11-03,2014,9,False,New York Giants,24.0,40.0,Indianapolis Colts,IND,"(-3.0, 0)","(51.5, 0)",MetLife Stadium,False,53.0,"(8.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11220,11220,2014-11-09,2014,10,False,Seattle Seahawks,38.0,17.0,New York Giants,SEA,"(-9.0, 0)","(45.0, 0)",CenturyLink Field,False,56.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
11232,11232,2014-11-16,2014,11,False,New York Giants,10.0,16.0,San Francisco 49ers,SF,"(-4.0, 0)","(45.0, 0)",MetLife Stadium,False,43.0,"(4.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11245,11245,2014-11-23,2014,12,False,New York Giants,28.0,31.0,Dallas Cowboys,DAL,"(-4.0, 0)","(49.0, 0)",MetLife Stadium,False,48.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11261,11261,2014-11-30,2014,13,False,Jacksonville Jaguars,25.0,24.0,New York Giants,NYG,"(-3.0, 0)","(44.0, 0)",EverBank Field,False,72.0,"(7.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11281,11281,2014-12-07,2014,14,False,Tennessee Titans,7.0,36.0,New York Giants,NYG,"(-3.0, 0)","(46.5, 0)",Nissan Stadium,False,47.0,"(7.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11294,11294,2014-12-14,2014,15,False,New York Giants,24.0,13.0,Washington Redskins,NYG,"(-7.0, 0)","(46.5, 0)",MetLife Stadium,False,43.0,"(7.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11313,11313,2014-12-21,2014,16,False,St. Louis Rams,27.0,37.0,New York Giants,LAR,"(-7.0, 0)","(43.5, 0)",Edward Jones Dome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
11325,11325,2014-12-28,2014,17,False,New York Giants,26.0,34.0,Philadelphia Eagles,PHI,"(-1.0, 0)","(52.0, 0)",MetLife Stadium,False,51.0,"(6.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11347,11347,2015-09-13,2015,1,False,Dallas Cowboys,27.0,26.0,New York Giants,DAL,"(-7.0, 0)","(52.5, 0)",Cowboys Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
11369,11369,2015-09-20,2015,2,False,New York Giants,20.0,24.0,Atlanta Falcons,NYG,"(-2.0, 0)","(50.0, 0)",MetLife Stadium,False,77.0,"(7.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11375,11375,2015-09-24,2015,3,False,New York Giants,32.0,21.0,Washington Redskins,NYG,"(-3.0, 0)","(45.0, 0)",MetLife Stadium,False,66.0,"(2.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11394,11394,2015-10-04,2015,4,False,Buffalo Bills,10.0,24.0,New York Giants,BUF,"(-6.0, 0)","(46.5, 0)",Ralph Wilson Stadium,False,60.0,"(4.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11414,11414,2015-10-11,2015,5,False,New York Giants,30.0,27.0,San Francisco 49ers,NYG,"(-7.5, 0)","(44.0, 0)",MetLife Stadium,False,57.0,"(3.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11433,11433,2015-10-19,2015,6,False,Philadelphia Eagles,27.0,7.0,New York Giants,PHI,"(-3.5, 0)","(50.5, 0)",Lincoln Financial Field,False,44.0,"(6.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11442,11442,2015-10-25,2015,7,False,New York Giants,27.0,20.0,Dallas Cowboys,NYG,"(-3.0, 0)","(44.5, 0)",MetLife Stadium,False,59.0,"(10.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11457,11457,2015-11-01,2015,8,False,New Orleans Saints,52.0,49.0,New York Giants,NO,"(-3.0, 0)","(52.0, 0)",Louisiana Superdome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
