,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
2190,2190,1977-11-14,1977,9,False,Dallas Cowboys,17.0,24.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Texas Stadium,False,61.0,"(12.0, 0)","(73.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2203,2203,1977-11-20,1977,10,False,St. Louis Cardinals,21.0,16.0,Philadelphia Eagles,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,58.0,"(17.0, 0)","(86.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2206,2206,1977-11-24,1977,11,False,St. Louis Cardinals,14.0,55.0,Miami Dolphins,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,39.0,"(8.0, 0)","(95.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2228,2228,1977-12-04,1977,12,False,New York Giants,27.0,7.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Giants Stadium,False,40.0,"(15.0, 0)","(54.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2234,2234,1977-12-10,1977,13,False,St. Louis Cardinals,20.0,26.0,Washington Redskins,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,6.0,"(12.0, 0)","(69.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2260,2260,1977-12-18,1977,14,False,Tampa Bay Buccaneers,17.0,7.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Houlihan's Stadium,False,66.0,"(14.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2271,2271,1978-09-03,1978,1,False,Chicago Bears,17.0,10.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Soldier Field,False,74.0,"(13.0, 0)","(69.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2293,2293,1978-09-10,1978,2,False,St. Louis Cardinals,6.0,16.0,New England Patriots,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,81.0,"(9.0, 0)","(57.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2308,2308,1978-09-17,1978,3,False,St. Louis Cardinals,10.0,28.0,Washington Redskins,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,82.0,"(14.0, 0)","(65.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2312,2312,1978-09-24,1978,4,False,Dallas Cowboys,21.0,12.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Texas Stadium,False,76.0,"(5.0, 0)","(70.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2331,2331,1978-10-01,1978,5,False,Miami Dolphins,24.0,10.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Orange Bowl,False,83.0,"(6.0, 0)","(70.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2350,2350,1978-10-08,1978,6,False,St. Louis Cardinals,17.0,30.0,Baltimore Colts,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,48.0,"(6.0, 0)","(70.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
